group,signal,kind,left,right,rows,flight_weight
KRDU/train,raw,height_m,1925.0,1950.0,4740,15.844082476086442
KRDU/train,raw,height_m,1950.0,1975.0,4461,14.889271838807872
KRDU/train,raw,height_m,1975.0,2000.0,4952,16.48070690485838
KRDU/train,raw,height_m,2000.0,2025.0,5725,18.9065661293007
KRDU/train,raw,height_m,2025.0,2050.0,5399,17.82653442161154
KRDU/train,raw,height_m,2050.0,2075.0,5744,18.993911911198666
KRDU/train,raw,height_m,2075.0,2100.0,6500,21.430404449911293
KRDU/train,raw,height_m,2100.0,2125.0,7837,25.82125203434316
KRDU/train,raw,height_m,2125.0,2150.0,6148,20.388291292226313
KRDU/train,raw,height_m,2150.0,2175.0,5423,18.033410448640097
KRDU/train,raw,height_m,2175.0,2200.0,5553,18.438314771675323
KRDU/train,raw,height_m,2200.0,2225.0,5174,17.18796709083199
KRDU/train,raw,height_m,2225.0,2250.0,5413,17.98687341688128
KRDU/train,raw,height_m,2250.0,2275.0,5102,16.943236603735386
KRDU/train,raw,height_m,2275.0,2300.0,5926,19.616862049404517
KRDU/train,raw,height_m,2300.0,2325.0,6397,21.247283221199723
KRDU/train,raw,height_m,2325.0,2350.0,6394,21.101796640567045
KRDU/train,raw,height_m,2350.0,2375.0,6953,22.800332126419562
KRDU/train,raw,height_m,2375.0,2400.0,6583,21.629822047930247
KRDU/train,raw,height_m,2400.0,2425.0,9072,29.774153018483958
KRDU/train,raw,height_m,2425.0,2450.0,9572,31.84537564848688
KRDU/train,raw,height_m,2450.0,2475.0,7002,23.14332897755412
KRDU/train,raw,height_m,2475.0,2500.0,4029,13.372984930373605
KRDU/train,raw,height_m,2500.0,2525.0,3969,13.19384926321436
KRDU/train,raw,height_m,2525.0,2550.0,3669,12.193444201199782
